direction,method,scenario,seeds,n,auroc,auprc,brier,ece
DiffSBDD_within,logistic_stacking,missing_chemistry,3,3000.0,0.9805825821862736,0.9687603641832804,0.0503076684800686,0.0203854254747582
DiffSBDD_within,logistic_stacking,missing_geometry,3,3000.0,0.9783261901855212,0.9689552455275848,0.0552483062724875,0.0208877339625733
DiffSBDD_within,logistic_stacking,missing_risk,3,3000.0,0.9031642546115448,0.819582564658492,0.1114907386783042,0.0917970214524522
DiffSBDD_within,logistic_stacking,missing_validity,3,3000.0,0.7389509798826865,0.648444380446224,0.3145953393421579,0.3227336164011976
DiffSBDD_within,xgboost_early,full,3,3000.0,0.9951745465258396,0.9924153794722592,0.0208088527814576,0.0097853319580357
DiffSBDD_within,xgboost_early,missing_chemistry,3,3000.0,0.9928066276160382,0.9857037593917783,0.0216489914658372,0.009971315575808
DiffSBDD_within,xgboost_early,missing_geometry,3,3000.0,0.9743007731575486,0.9647154145251294,0.091236547288452,0.0912382729505059
DiffSBDD_within,xgboost_early,missing_risk,3,3000.0,0.9941143610649597,0.98960471840233,0.022681834537355,0.0105003529839806
DiffSBDD_within,xgboost_early,missing_validity,3,3000.0,0.8005083170485058,0.7034194498923596,0.2683416786867466,0.2642876927241677
Pocket2Mol_to_DiffSBDD,bayesian_fusion,full,1,10000.0,0.9748548661134416,0.9664639036039,0.0981559530413325,0.0985239805549217
Pocket2Mol_to_DiffSBDD,bayesian_fusion,missing_chemistry,1,10000.0,0.9900240850646782,0.981742059709828,0.1145996930340176,0.1146002602528954
Pocket2Mol_to_DiffSBDD,bayesian_fusion,missing_geometry,1,10000.0,0.9477835237601634,0.927035999605834,0.1267049369112695,0.126860213546073
Pocket2Mol_to_DiffSBDD,bayesian_fusion,missing_risk,1,10000.0,0.9628312904015656,0.9473298311005878,0.1008056256716024,0.1003737486392116
Pocket2Mol_to_DiffSBDD,bayesian_fusion,missing_validity,1,10000.0,0.7958833390487361,0.7113346528193892,0.4402408717314769,0.4454655260381494
Pocket2Mol_to_DiffSBDD,hgb_early,full,1,10000.0,0.989785807972857,0.976004972823717,0.0289808864515159,0.0278515161632759
Pocket2Mol_to_DiffSBDD,hgb_early,missing_chemistry,1,10000.0,0.990538511910445,0.9807631725633232,0.0282534706276765,0.0265465859818579
Pocket2Mol_to_DiffSBDD,hgb_early,missing_geometry,1,10000.0,0.9305473220739896,0.8521714570241112,0.1335428967745958,0.1336457910099534
Pocket2Mol_to_DiffSBDD,hgb_early,missing_risk,1,10000.0,0.9890971181704996,0.9742703173141076,0.0302169838091687,0.0293817417823012
Pocket2Mol_to_DiffSBDD,hgb_early,missing_validity,1,10000.0,0.7691681742665288,0.6305851607409683,0.3084186026894839,0.3095882684179082
Pocket2Mol_to_DiffSBDD,late_fusion,full,1,10000.0,0.9378078117865896,0.93442565495312,0.1756751903341817,0.2716982494721373
Pocket2Mol_to_DiffSBDD,late_fusion,missing_chemistry,1,10000.0,0.9289501551926708,0.9219532365422758,0.1765652653080777,0.2690156002103046
Pocket2Mol_to_DiffSBDD,late_fusion,missing_geometry,1,10000.0,0.9437509376832744,0.940479176410486,0.1742014769237606,0.2771560580559106
