ligand_target,ligand_mol_index,target_score,best_offtarget_score,selectivity_margin,target_rank,target_is_best,ligand_risk,ligand_qed,dock_pose_pass,mol_pred,mol_cond
DYRK2,59,-12.468,-11.011,1.4570000000000007,1,True,0.0244176324712073,0.7567555584621845,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4azf_A_rec_5lxc_7aa_lig_tt_min_0_pocket10_4azf_A_rec_5lxc_7aa_lig_tt_min_0__m059.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/DYRK2_HUMAN_145_550_0/4azf_A_rec_5lxc_7aa_lig_tt_min_0_pocket10.pdb
DYRK2,76,-9.506,-9.502,0.0039999999999995595,1,True,0.0328553631776712,0.8823889590525831,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4azf_A_rec_5lxc_7aa_lig_tt_min_0_pocket10_4azf_A_rec_5lxc_7aa_lig_tt_min_0__m076.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/DYRK2_HUMAN_145_550_0/4azf_A_rec_5lxc_7aa_lig_tt_min_0_pocket10.pdb
DYRK2,91,-10.603,-10.677,-0.07399999999999984,2,False,0.0112650911964659,0.8076831318966494,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4azf_A_rec_5lxc_7aa_lig_tt_min_0_pocket10_4azf_A_rec_5lxc_7aa_lig_tt_min_0__m091.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/DYRK2_HUMAN_145_550_0/4azf_A_rec_5lxc_7aa_lig_tt_min_0_pocket10.pdb
DYRK2,94,-9.059,-8.745,0.31400000000000006,1,True,0.0007542154234273,0.775606928973901,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4azf_A_rec_5lxc_7aa_lig_tt_min_0_pocket10_4azf_A_rec_5lxc_7aa_lig_tt_min_0__m094.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/DYRK2_HUMAN_145_550_0/4azf_A_rec_5lxc_7aa_lig_tt_min_0_pocket10.pdb
GRK4,23,-6.536,-8.387,-1.8510000000000009,12,False,0.0297737661732082,0.790667660536663,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4yhj_A_rec_4yhj_an2_lig_tt_min_0_pocket10_4yhj_A_rec_4yhj_an2_lig_tt_min_0__m023.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/GRK4_HUMAN_1_578_0/4yhj_A_rec_4yhj_an2_lig_tt_min_0_pocket10.pdb
GRK4,31,-6.342,-8.636,-2.2939999999999996,12,False,0.0830598959476739,0.730599076885971,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4yhj_A_rec_4yhj_an2_lig_tt_min_0_pocket10_4yhj_A_rec_4yhj_an2_lig_tt_min_0__m031.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/GRK4_HUMAN_1_578_0/4yhj_A_rec_4yhj_an2_lig_tt_min_0_pocket10.pdb
GRK4,37,-7.729,-10.908,-3.1789999999999994,11,False,0.0876943867473232,0.7539156450838604,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4yhj_A_rec_4yhj_an2_lig_tt_min_0_pocket10_4yhj_A_rec_4yhj_an2_lig_tt_min_0__m037.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/GRK4_HUMAN_1_578_0/4yhj_A_rec_4yhj_an2_lig_tt_min_0_pocket10.pdb
GRK4,40,-6.665,-8.132,-1.4669999999999996,10,False,0.086925417195616,0.7996663496856755,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4yhj_A_rec_4yhj_an2_lig_tt_min_0_pocket10_4yhj_A_rec_4yhj_an2_lig_tt_min_0__m040.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/GRK4_HUMAN_1_578_0/4yhj_A_rec_4yhj_an2_lig_tt_min_0_pocket10.pdb
GRK4,55,-8.65,-9.362,-0.7119999999999997,7,False,0.1931957246342068,0.7842486179552749,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4yhj_A_rec_4yhj_an2_lig_tt_min_0_pocket10_4yhj_A_rec_4yhj_an2_lig_tt_min_0__m055.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/GRK4_HUMAN_1_578_0/4yhj_A_rec_4yhj_an2_lig_tt_min_0_pocket10.pdb
GRK4,76,-8.806,-10.759,-1.9530000000000012,6,False,0.0459525406805085,0.7423907950128555,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4yhj_A_rec_4yhj_an2_lig_tt_min_0_pocket10_4yhj_A_rec_4yhj_an2_lig_tt_min_0__m076.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/GRK4_HUMAN_1_578_0/4yhj_A_rec_4yhj_an2_lig_tt_min_0_pocket10.pdb
GRK4,84,-7.92,-9.957,-2.037000000000001,9,False,0.0430468480546015,0.8071131020036603,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4yhj_A_rec_4yhj_an2_lig_tt_min_0_pocket10_4yhj_A_rec_4yhj_an2_lig_tt_min_0__m084.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/GRK4_HUMAN_1_578_0/4yhj_A_rec_4yhj_an2_lig_tt_min_0_pocket10.pdb
GRK4,92,-7.038,-8.872,-1.8339999999999996,11,False,0.0974954025182631,0.7323286359101784,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4yhj_A_rec_4yhj_an2_lig_tt_min_0_pocket10_4yhj_A_rec_4yhj_an2_lig_tt_min_0__m092.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/GRK4_HUMAN_1_578_0/4yhj_A_rec_4yhj_an2_lig_tt_min_0_pocket10.pdb
IPMK,1,-6.673,-9.067,-2.394,12,False,0.0249870843277146,0.7277213585434745,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/5w2g_A_rec_5w2i_adp_lig_tt_min_0_pocket10_5w2g_A_rec_5w2i_adp_lig_tt_min_0__m001.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/IPMK_HUMAN_49_416_0/5w2g_A_rec_5w2i_adp_lig_tt_min_0_pocket10.pdb
IPMK,4,-7.328,-9.191,-1.8630000000000004,7,False,0.2071916953421554,0.5772416702131901,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/5w2g_A_rec_5w2i_adp_lig_tt_min_0_pocket10_5w2g_A_rec_5w2i_adp_lig_tt_min_0__m004.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/IPMK_HUMAN_49_416_0/5w2g_A_rec_5w2i_adp_lig_tt_min_0_pocket10.pdb
IPMK,17,-6.168,-8.207,-2.0390000000000006,12,False,0.1585378419078497,0.5440669462031316,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/5w2g_A_rec_5w2i_adp_lig_tt_min_0_pocket10_5w2g_A_rec_5w2i_adp_lig_tt_min_0__m017.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/IPMK_HUMAN_49_416_0/5w2g_A_rec_5w2i_adp_lig_tt_min_0_pocket10.pdb
IPMK,37,-5.978,-9.439,-3.4610000000000003,12,False,0.1421711153040989,0.5610010564764274,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/5w2g_A_rec_5w2i_adp_lig_tt_min_0_pocket10_5w2g_A_rec_5w2i_adp_lig_tt_min_0__m037.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/IPMK_HUMAN_49_416_0/5w2g_A_rec_5w2i_adp_lig_tt_min_0_pocket10.pdb
IPMK,50,-6.98,-9.786,-2.805999999999999,12,False,0.1985194042939244,0.7148128557498747,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/5w2g_A_rec_5w2i_adp_lig_tt_min_0_pocket10_5w2g_A_rec_5w2i_adp_lig_tt_min_0__m050.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/IPMK_HUMAN_49_416_0/5w2g_A_rec_5w2i_adp_lig_tt_min_0_pocket10.pdb
IPMK,56,-6.405,-10.334,-3.9289999999999994,12,False,0.0237232378375209,0.8248608024576967,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/5w2g_A_rec_5w2i_adp_lig_tt_min_0_pocket10_5w2g_A_rec_5w2i_adp_lig_tt_min_0__m056.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/IPMK_HUMAN_49_416_0/5w2g_A_rec_5w2i_adp_lig_tt_min_0_pocket10.pdb
