targets,covered_targets,coverage,dock_fast,failure,risk_gt_0_5,qed,mode,threshold,setting,seed,policy
53,31,0.5849056603773585,1.0,0.0,0.0,0.5143028816689772,selective_alpha10,7.4071480075007345,DiffSBDD_to_Pocket2Mol,20260528,constrained_lambdamart
53,53,1.0,1.0,0.0,0.07547169811320754,0.508187935766367,fixed_top1,,DiffSBDD_to_Pocket2Mol,20260528,pb_xgbrank
53,19,0.3584905660377358,1.0,0.0,0.0,0.5760201940837424,selective_alpha10,3.0206520557403564,DiffSBDD_to_Pocket2Mol,20260528,pb_xgbrank
53,53,1.0,1.0,0.0,0.07547169811320754,0.5064315957301927,fixed_top1,,DiffSBDD_to_Pocket2Mol,20260528,constrained_xgbrank
53,19,0.3584905660377358,1.0,0.0,0.0,0.5760201940837424,selective_alpha10,3.0206520557403564,DiffSBDD_to_Pocket2Mol,20260528,constrained_xgbrank
53,53,1.0,1.0,0.0,0.07547169811320754,0.4797152779243646,fixed_top1,,DiffSBDD_to_Pocket2Mol,20260529,pb_rc
53,30,0.5660377358490566,1.0,0.0,0.0,0.47225096466021926,selective_alpha10,0.9496277353251659,DiffSBDD_to_Pocket2Mol,20260529,pb_rc
53,53,1.0,1.0,0.0,0.07547169811320754,0.5201075013863785,fixed_top1,,DiffSBDD_to_Pocket2Mol,20260529,pb_lambdamart
53,30,0.5660377358490566,1.0,0.0,0.0,0.5589183562097336,selective_alpha10,6.949593671357625,DiffSBDD_to_Pocket2Mol,20260529,pb_lambdamart
53,53,1.0,1.0,0.0,0.07547169811320754,0.517211376271579,fixed_top1,,DiffSBDD_to_Pocket2Mol,20260529,constrained_lambdamart
53,30,0.5660377358490566,1.0,0.0,0.0,0.5589183562097336,selective_alpha10,6.949593671357625,DiffSBDD_to_Pocket2Mol,20260529,constrained_lambdamart
53,53,1.0,1.0,0.0,0.09433962264150944,0.514718171510414,fixed_top1,,DiffSBDD_to_Pocket2Mol,20260529,pb_xgbrank
53,47,0.8867924528301887,1.0,0.0,0.02127659574468085,0.5210251982158248,selective_alpha10,2.813182830810547,DiffSBDD_to_Pocket2Mol,20260529,pb_xgbrank
53,53,1.0,1.0,0.0,0.09433962264150944,0.5129618314742397,fixed_top1,,DiffSBDD_to_Pocket2Mol,20260529,constrained_xgbrank
53,47,0.8867924528301887,1.0,0.0,0.02127659574468085,0.5190446445580114,selective_alpha10,2.813182830810547,DiffSBDD_to_Pocket2Mol,20260529,constrained_xgbrank
100,100,1.0,1.0,0.0,0.0,0.5160224273645745,fixed_top1,,Pocket2Mol_to_DiffSBDD,20260525,pb_rc
100,100,1.0,1.0,0.0,0.0,0.5160224273645745,selective_alpha10,0.0738371831340574,Pocket2Mol_to_DiffSBDD,20260525,pb_rc
100,100,1.0,1.0,0.0,0.16,0.6012816010809149,fixed_top1,,Pocket2Mol_to_DiffSBDD,20260525,pb_lambdamart
100,100,1.0,1.0,0.0,0.16,0.6012816010809149,selective_alpha10,-1.1567895310434295,Pocket2Mol_to_DiffSBDD,20260525,pb_lambdamart
100,100,1.0,1.0,0.0,0.0,0.6016080346521189,fixed_top1,,Pocket2Mol_to_DiffSBDD,20260525,constrained_lambdamart
100,100,1.0,1.0,0.0,0.0,0.6016080346521189,selective_alpha10,-1.1567895310434295,Pocket2Mol_to_DiffSBDD,20260525,constrained_lambdamart
100,100,1.0,1.0,0.0,0.25,0.5196032823748638,fixed_top1,,Pocket2Mol_to_DiffSBDD,20260525,pb_xgbrank
100,100,1.0,1.0,0.0,0.25,0.5196032823748638,selective_alpha10,0.2936083972454071,Pocket2Mol_to_DiffSBDD,20260525,pb_xgbrank
100,100,1.0,1.0,0.0,0.0,0.5331166684093952,fixed_top1,,Pocket2Mol_to_DiffSBDD,20260525,constrained_xgbrank
100,100,1.0,1.0,0.0,0.0,0.5331166684093952,selective_alpha10,0.2936083972454071,Pocket2Mol_to_DiffSBDD,20260525,constrained_xgbrank
100,100,1.0,1.0,0.0,0.0,0.5160224273645745,fixed_top1,,Pocket2Mol_to_DiffSBDD,20260526,pb_rc
100,100,1.0,1.0,0.0,0.0,0.5160224273645745,selective_alpha10,0.7501407485970001,Pocket2Mol_to_DiffSBDD,20260526,pb_rc
100,100,1.0,0.98,0.020000000000000018,0.16,0.6059330088845971,fixed_top1,,Pocket2Mol_to_DiffSBDD,20260526,pb_lambdamart
100,100,1.0,0.98,0.020000000000000018,0.16,0.6059330088845971,selective_alpha10,4.81750675131108,Pocket2Mol_to_DiffSBDD,20260526,pb_lambdamart
100,100,1.0,1.0,0.0,0.0,0.596260410956774,fixed_top1,,Pocket2Mol_to_DiffSBDD,20260526,constrained_lambdamart
