direction,method,scenario,seeds,coverage_mean,coverage_std,dock_fast_mean,dock_fast_std,selective_failure_mean,risk_gt_0_5_mean,qed_mean
Pocket2Mol_to_DiffSBDD,lightgbm_early,missing_risk,5,0.952,0.04266145801540303,0.9751504267819533,0.018876113227382314,0.02484957321804677,1.0,0.5606487620277223
Pocket2Mol_to_DiffSBDD,bayesian_fusion,missing_risk,5,0.93,0.04999999999999999,0.894282669589575,0.13726215592649862,0.10571733041042504,1.0,0.4320123144991812
Pocket2Mol_to_DiffSBDD,RC-risk,missing_risk,5,1.0,0.0,0.77,0.0,0.22999999999999998,1.0,0.8689729808415233
Pocket2Mol_to_DiffSBDD,logistic_stacking,missing_risk,5,0.844,0.162726764854464,0.6549842499204396,0.08581987102321557,0.3450157500795604,1.0,0.3894689612670379
Pocket2Mol_to_DiffSBDD,RC-risk,missing_validity,5,1.0,0.0,0.7,0.0,0.30000000000000004,0.0,0.4966856593921798
Pocket2Mol_to_DiffSBDD,hgb_early,missing_validity,5,0.736,0.3339610755761815,0.6977189308818522,0.07239871786794584,0.3022810691181478,0.34445386448757237,0.5252323208548865
Pocket2Mol_to_DiffSBDD,bayesian_fusion,missing_validity,5,0.942,0.07085195833567341,0.6943989438598214,0.23527319626835147,0.30560105614017863,0.04480968201233983,0.4775815576682267
Pocket2Mol_to_DiffSBDD,xgboost_early,missing_validity,5,0.914,0.1101362792180669,0.6939565594745118,0.039421655828933456,0.3060434405254882,0.541778335812463,0.5406535128917135
Pocket2Mol_to_DiffSBDD,lightgbm_early,missing_validity,5,0.9099999999999999,0.08831760866327848,0.6497575278530563,0.08189098665737671,0.35024247214694365,0.4455802469135802,0.5693069706537136
Pocket2Mol_to_DiffSBDD,logistic_stacking,missing_validity,5,0.9560000000000001,0.03847076812334268,0.5625437352245862,0.06711349012499017,0.4374562647754138,0.002040816326530612,0.3785832174580756
