axis,source,metric,targets,baseline_mean,method_mean,delta_method_minus_baseline,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,cliffs_delta,desired_direction,fdr_q_joint_shift_family,improves
family_and_generated_scaffold_unseen,PocketFlow,dock_pose_pass,72,0.849537037037037,0.949074074074074,0.09953703703703703,0.020833333333333336,0.18061342592592564,0.026330947875976562,0.1527777777777778,higher,0.04358225855334052,True
family_and_generated_scaffold_unseen,PocketFlow,risk_prob,72,0.5458090086408475,0.24381015209034812,-0.30199885655049935,-0.3730939970197122,-0.23192734211324917,4.2265350786613516e-10,-0.625,lower,2.254152041952721e-09,True
family_and_generated_scaffold_unseen,PocketFlow,risk_gt_0_5,72,0.5173611111111112,0.11689814814814814,-0.40046296296296297,-0.5,-0.3009259259259259,3.9108272176235914e-11,-0.5416666666666666,lower,2.681710092084748e-10,True
family_and_generated_scaffold_unseen,PocketFlow,qed,72,0.7137630687939299,0.5352832923202969,-0.17847977647363317,-0.21437032941210615,-0.14275253742909927,2.3318599687460468e-11,-0.7638888888888888,higher,2.035077790905641e-10,False
family_and_native_scaffold_unseen,ExpDiff-100,dock_pose_pass,41,0.9817073170731707,0.9939024390243902,0.012195121951219513,0.0,0.03048780487804878,0.5,0.04878048780487805,higher,0.5853658536585366,True
family_and_native_scaffold_unseen,ExpDiff-100,risk_prob,41,0.08994854979686452,0.05503730806250456,-0.034911241734359964,-0.05464360466290485,-0.016630055679173993,0.00048828125,-0.2926829268292683,lower,0.001065340909090909,True
family_and_native_scaffold_unseen,ExpDiff-100,risk_gt_0_5,41,0.024390243902439025,0.0,-0.024390243902439025,-0.04878048780487805,-0.006097560975609756,0.125,-0.0975609756097561,lower,0.2,True
family_and_native_scaffold_unseen,ExpDiff-100,qed,41,0.8111309795692455,0.8041736930904203,-0.006957286478825255,-0.012390352547190784,-0.0024420626913093674,0.00048828125,-0.2926829268292683,higher,0.001065340909090909,False
family_and_native_scaffold_unseen,MolCRAFT-100,dock_pose_pass,41,1.0,1.0,0.0,0.0,0.0,1.0,0.0,higher,1.0,False
family_and_native_scaffold_unseen,MolCRAFT-100,risk_prob,41,0.13187652639243916,0.0748883720478276,-0.05698815434461155,-0.10385258700879069,-0.021745326766004977,0.0009765625,-0.2682926829268293,lower,0.001875,True
family_and_native_scaffold_unseen,MolCRAFT-100,risk_gt_0_5,41,0.06707317073170732,0.0,-0.06707317073170732,-0.12195121951219512,-0.024390243902439025,0.0078125,-0.1951219512195122,lower,0.013392857142857142,True
family_and_native_scaffold_unseen,MolCRAFT-100,qed,41,0.725696266037849,0.7104697201930963,-0.015226545844752814,-0.028299078195207786,-0.004866341042684771,0.0009765625,-0.2682926829268293,higher,0.001875,False
family_and_native_scaffold_unseen,MolPilot-framefix,dock_pose_pass,22,0.03409090909090909,0.056818181818181816,0.022727272727272728,0.0,0.06818181818181818,1.0,0.045454545454545456,higher,1.0,True
family_and_native_scaffold_unseen,MolPilot-framefix,risk_prob,22,0.9975911530340167,0.9828457585775486,-0.014745394456468013,-0.04423618336940404,0.0,1.0,-0.045454545454545456,lower,1.0,True
family_and_native_scaffold_unseen,MolPilot-framefix,risk_gt_0_5,22,1.0,0.9886363636363636,-0.011363636363636364,-0.03409090909090909,0.0,1.0,-0.045454545454545456,lower,1.0,True
family_and_native_scaffold_unseen,MolPilot-framefix,qed,22,0.6073216554192263,0.6029564545463083,-0.004365200872918049,-0.013095602618754148,0.0,1.0,-0.045454545454545456,higher,1.0,False
family_and_native_scaffold_unseen,PocketFlow,dock_pose_pass,41,0.8292682926829268,0.9329268292682927,0.10365853658536585,0.04878048780487805,0.16463414634146342,0.0031528472900390625,0.34146341463414637,higher,0.005605061848958333,True
family_and_native_scaffold_unseen,PocketFlow,risk_prob,41,0.5926598647191913,0.2982090695433653,-0.294450795175826,-0.3499699227731838,-0.23807012709458006,2.9103830456733704e-11,-0.8780487804878049,lower,2.1492059414203352e-10,True
family_and_native_scaffold_unseen,PocketFlow,risk_gt_0_5,41,0.6036585365853658,0.21341463414634146,-0.3902439024390244,-0.4695121951219512,-0.31097560975609756,2.3283064365386963e-10,-0.8048780487804879,lower,1.3148083406336168e-09,True
family_and_native_scaffold_unseen,PocketFlow,qed,41,0.692915757407736,0.5779288093108068,-0.11498694809692912,-0.14075582393147568,-0.08845301015503644,2.9103830456733704e-11,-0.8780487804878049,higher,2.1492059414203352e-10,False
protein_family_or_scaffold_unseen,ExpDiff-100,dock_pose_pass,100,0.9875,0.9975,0.01,0.0,0.0225,0.25,0.03,higher,0.3333333333333333,True
protein_family_or_scaffold_unseen,ExpDiff-100,risk_prob,100,0.10453077130930533,0.06787949066682143,-0.03665128064248385,-0.056354250189906495,-0.020399831198053518,2.9802322387695312e-08,-0.26,lower,1.1444091796875e-07,True
protein_family_or_scaffold_unseen,ExpDiff-100,risk_gt_0_5,100,0.03916666666666666,0.0,-0.03916666666666666,-0.06583333333333333,-0.01747916666666678,0.0009765625,-0.11,lower,0.001875,True
protein_family_or_scaffold_unseen,ExpDiff-100,qed,100,0.7728023299249862,0.7670459588986102,-0.00575637102637619,-0.008662212648029584,-0.0032316748876005576,2.9802322387695312e-08,-0.26,higher,1.1444091796875e-07,False
protein_family_or_scaffold_unseen,MolCRAFT-100,dock_pose_pass,99,0.9949494949494949,0.9974747474747475,0.0025252525252525255,0.0,0.007575757575757576,1.0,0.010101010101010102,higher,1.0,True
protein_family_or_scaffold_unseen,MolCRAFT-100,risk_prob,99,0.13372176583111614,0.06804824475291339,-0.06567352107820273,-0.09551197594779282,-0.03886454344558698,1.1175870895385742e-08,-0.2727272727272727,lower,5.3644180297851564e-08,True
protein_family_or_scaffold_unseen,MolCRAFT-100,risk_gt_0_5,99,0.0765993265993266,0.0,-0.0765993265993266,-0.11447811447811447,-0.045454545454545456,1.9073486328125e-06,-0.20202020202020202,lower,5.086263020833333e-06,True
protein_family_or_scaffold_unseen,MolCRAFT-100,qed,99,0.6908626080413507,0.6694187932263609,-0.021443814814989665,-0.03429029405341824,-0.011450018225836934,3.725290298461914e-09,-0.29292929292929293,higher,1.8822519402754933e-08,False
protein_family_or_scaffold_unseen,MolPilot-framefix,dock_pose_pass,50,0.015,0.035,0.02,0.0,0.05,0.5,0.04,higher,0.5853658536585366,True
protein_family_or_scaffold_unseen,MolPilot-framefix,risk_prob,50,0.9989141273025508,0.9847785716490343,-0.014135555653516672,-0.035750479068524486,0.0,0.25,-0.06,lower,0.3333333333333333,True
protein_family_or_scaffold_unseen,MolPilot-framefix,risk_gt_0_5,50,1.0,0.985,-0.015,-0.04,0.0,0.5,-0.04,lower,0.5853658536585366,True
protein_family_or_scaffold_unseen,MolPilot-framefix,qed,50,0.6540160996986877,0.6511798329322178,-0.0028362667664698937,-0.007538827308319782,0.0,0.25,-0.06,higher,0.3333333333333333,False
protein_family_or_scaffold_unseen,PocketFlow,dock_pose_pass,98,0.8392857142857143,0.9540816326530612,0.11479591836734694,0.07908163265306123,0.15306122448979592,5.514118583960226e-08,0.37755102040816324,higher,2.035982246385314e-07,True
protein_family_or_scaffold_unseen,PocketFlow,risk_prob,98,0.5951695988951254,0.28839071261590216,-0.30677888627922334,-0.34285245527777386,-0.2685310216200605,8.149781597324954e-17,-0.9387755102040817,lower,3.911895166715978e-15,True
protein_family_or_scaffold_unseen,PocketFlow,risk_gt_0_5,98,0.5943877551020408,0.19557823129251697,-0.39880952380952384,-0.44815051020408164,-0.3452380952380953,4.250204086510069e-16,-0.8673469387755102,lower,8.160391846099333e-15,True
protein_family_or_scaffold_unseen,PocketFlow,qed,98,0.7069285373399716,0.5840725660520936,-0.1228559712878779,-0.14354043148836124,-0.10350779524402542,8.149781597324954e-17,-0.9387755102040817,higher,3.911895166715978e-15,False
