heldout_source,method,calib_targets,test_n_mean,test_n_std,failure_rate_mean,failure_rate_std,mean_pred_failure_mean,mean_pred_failure_std,ece_mean,ece_std,brier_mean,brier_std,auroc_mean,auroc_std,auprc_mean,auprc_std
MolCRAFT,adapted_isotonic,10,90.0,0.0,0.0,0.0,0.007685661102985068,4.767342443654533e-05,0.007685661102985068,4.767342443654533e-05,6.0240811937656194e-05,4.441673154207047e-07,,,,
MolCRAFT,adapted_isotonic,20,80.0,0.0,0.0,0.0,0.007488608038635302,5.7625854145520614e-05,0.007488608038635302,5.7625854145520614e-05,5.7223814268747316e-05,5.138625492893851e-07,,,,
MolCRAFT,adapted_platt,5,95.0,0.0,0.0,0.0,0.006028180810404764,9.617640417090608e-05,0.006028180810404764,9.617640417090608e-05,4.083978713980203e-05,1.9276365784451915e-06,,,,
MolCRAFT,adapted_platt,10,90.0,0.0,0.0,0.0,0.006003224128572966,6.677064273582886e-05,0.006003224128572966,6.677064273582886e-05,4.0841058712568794e-05,1.1438962603757937e-06,,,,
MolCRAFT,adapted_platt,20,80.0,0.0,0.0,0.0,0.005865817891315876,0.00010477844847016685,0.005865817891315876,0.00010477844847016685,3.8857078144450265e-05,2.116718974595852e-06,,,,
MolCRAFT,logo_beta,0,100.0,,0.0,,0.011866668271259291,,0.011866668271259291,,0.0002357542012067361,,,,,
MolCRAFT,logo_beta,5,95.0,0.0,0.0,0.0,0.011805770270230428,0.0003177598273037458,0.011805770270230428,0.0003177598273037458,0.00023066047874844395,2.7778509838716774e-05,,,,
MolCRAFT,logo_beta,10,90.0,0.0,0.0,0.0,0.011870873485248488,0.00033891192420205533,0.011870873485248488,0.00033891192420205533,0.0002389209253158733,2.2763216671244106e-05,,,,
MolCRAFT,logo_beta,20,80.0,0.0,0.0,0.0,0.011809613213217284,0.0005233678008653226,0.011809613213217284,0.0005233678008653226,0.0002302067975171452,4.5598726234354066e-05,,,,
MolCRAFT,logo_isotonic,0,100.0,,0.0,,0.007882037533512066,,0.007882037533512066,,6.339440375478871e-05,,,,,
MolCRAFT,logo_isotonic,5,95.0,0.0,0.0,0.0,0.007890503739240865,3.474457520818858e-05,0.007890503739240865,3.474457520818858e-05,6.346249656225896e-05,2.794469855886516e-07,,,,
MolCRAFT,logo_isotonic,10,90.0,0.0,0.0,0.0,0.007886505808757821,3.970166741012611e-05,0.007886505808757821,3.970166741012611e-05,6.343034162539802e-05,3.1931635986697274e-07,,,,
MolCRAFT,logo_isotonic,20,80.0,0.0,0.0,0.0,0.007882037533512066,5.053197285020391e-05,0.007882037533512066,5.053197285020391e-05,6.339440375478873e-05,4.064233741303348e-07,,,,
MolCRAFT,logo_platt,0,100.0,,0.0,,0.006096407708891199,,0.006096407708891199,,4.183665540279007e-05,,,,,
MolCRAFT,logo_platt,5,95.0,0.0,0.0,0.0,0.006089960626103355,8.467864791553233e-05,0.006089960626103355,8.467864791553233e-05,4.1654797638251914e-05,1.8083625751973223e-06,,,,
MolCRAFT,logo_platt,10,90.0,0.0,0.0,0.0,0.0061207095070985595,5.935349017116803e-05,0.0061207095070985595,5.935349017116803e-05,4.240806090828366e-05,1.0735950948959702e-06,,,,
MolCRAFT,logo_platt,20,80.0,0.0,0.0,0.0,0.00609998585255522,9.645411408731179e-05,0.00609998585255522,9.645411408731179e-05,4.192995751944803e-05,2.111188025078859e-06,,,,
MolCRAFT,raw_risk,0,100.0,,0.0,,0.02061408019281945,,0.020614080192819455,,0.0014824162275907534,,,,,
MolCRAFT,raw_risk,5,95.0,0.0,0.0,0.0,0.020560919860766164,0.0012334547473886136,0.02056091986076616,0.0012334547473886134,0.0014625073466966346,0.00018682777467627309,,,,
MolCRAFT,raw_risk,10,90.0,0.0,0.0,0.0,0.020919496783872664,0.0010211366931882045,0.020919496783872664,0.0010211366931882032,0.0015418263773296181,0.0001121465668527307,,,,
MolCRAFT,raw_risk,20,80.0,0.0,0.0,0.0,0.02065460212842441,0.001444082727265231,0.020654602128424415,0.001444082727265232,0.0014915341773221815,0.00020590153064825446,,,,
MolCRAFT,shrinkage_beta,5,95.0,0.0,0.0,0.0,0.01175172661661603,0.00035034611863840403,0.01175172661661603,0.00035034611863840403,0.00022795935681014604,2.9124237165934292e-05,,,,
MolCRAFT,shrinkage_beta,10,90.0,0.0,0.0,0.0,0.011673581950352502,0.00040214873362336595,0.011673581950352502,0.00040214873362336595,0.00022894990640648691,2.5641418250022636e-05,,,,
