heldout_source,method,calib_targets,test_n_mean,test_n_std,failure_rate_mean,failure_rate_std,mean_pred_failure_mean,mean_pred_failure_std,ece_mean,ece_std,brier_mean,brier_std,auroc_mean,auroc_std,auprc_mean,auprc_std
PocketFlow,leave_generator_out_isotonic,10,2160.0,0.0,0.2001851851851852,0.004272211474814393,0.3979553484990762,0.002011547036995085,0.20225318645715076,0.0032668367356488317,0.19081271535471397,0.001868165513222626,0.6350382475086084,0.00628472902647021,0.340081938745364,0.01077027357455351
PocketFlow,leave_generator_out_isotonic,20,1920.0,0.0,0.19942708333333334,0.00851030970851687,0.3979639548862719,0.0027855568897109306,0.2024629513769999,0.008576686585430931,0.19077808049920714,0.0015630518434203153,0.6394844990962254,0.00787564517787122,0.33443151637643354,0.012269965413787162
PocketFlow,raw_risk,0,2400.0,,0.19916666666666666,,0.3756364207576896,,0.23412663784515064,,0.24357809513521378,,0.6413570679078192,,0.35941522475998894,
PocketFlow,raw_risk,5,2280.0,0.0,0.19850877192982458,0.0028212965282056034,0.37623241884537684,0.0038370088278478105,0.23481700038703987,0.00433998075714982,0.24343279735969575,0.0033050665261483898,0.6424120529276721,0.006732395077269926,0.3607048366801695,0.007305176827767875
PocketFlow,raw_risk,10,2160.0,0.0,0.2001851851851852,0.004272211474814393,0.37647658204301016,0.006352949015954932,0.23493753591429378,0.0050588898912147795,0.24373623553249463,0.005102383178185227,0.639817524180398,0.006051603625231586,0.3634271528292465,0.01235405582591727
PocketFlow,raw_risk,20,1920.0,0.0,0.19942708333333334,0.00851030970851687,0.37658262031494805,0.009761143607389302,0.23334349564969886,0.006056732123074962,0.24473909372379882,0.005124381525733746,0.6439448427904307,0.008582913953143706,0.3547434679678451,0.013463167148252948
PocketFlow,target_adapted_isotonic,0,2400.0,,0.19916666666666666,,0.397831912657619,,0.20291901619487096,,0.1906415692702794,,0.6364926702049382,,0.33647602742860233,
PocketFlow,target_adapted_isotonic,5,2280.0,0.0,0.19850877192982458,0.0028212965282056034,0.3965475931623912,0.0011607682492807032,0.20230935690394164,0.0029208896614434728,0.18988296072762365,0.0009269849752628704,0.6373843824951485,0.006721396338819097,0.33745812195595726,0.007022338874497205
PocketFlow,target_adapted_isotonic,10,2160.0,0.0,0.2001851851851852,0.004272211474814393,0.3946489435958281,0.002174449992410677,0.19894773653995146,0.00373368764168349,0.1894699691460327,0.0018667623870996589,0.6357266836264236,0.006239187795009469,0.3417231421864947,0.010684138705470166
PocketFlow,target_adapted_isotonic,20,1920.0,0.0,0.19942708333333334,0.00851030970851687,0.3911562901633003,0.003246888627826276,0.1956499852683806,0.009780974227010688,0.18800833229773545,0.0013470249502020174,0.6399148986026837,0.008313566472347041,0.3353361535261111,0.013210918747954655
SYNC-Guide,leave_generator_out_isotonic,0,1179.0,,0.28329092451229854,,0.28416542601292183,,0.07374641367035378,,0.20747036266832786,,0.49507139567019803,,0.3101420946694921,
SYNC-Guide,leave_generator_out_isotonic,5,1062.0,3.7416573867739524,0.2842799954436663,0.007052438936304125,0.28494926093769457,0.001345378924789883,0.07388631610733537,0.005323369673105151,0.20803451883726135,0.003399047718810883,0.49491250814711873,0.009964982724170412,0.3079184346806527,0.012937496753346675
SYNC-Guide,leave_generator_out_isotonic,10,942.9,4.254409477236529,0.2871012874489904,0.009615169081349741,0.283719016855069,0.0029556935046089394,0.07777486553529059,0.013272549096919417,0.20834976776980754,0.0061045724128335555,0.499431377264336,0.022715625735313227,0.3209480347331571,0.013317642136697798
SYNC-Guide,leave_generator_out_isotonic,20,706.2,5.138093031466047,0.281315501416539,0.020910838855982078,0.2807992715504685,0.004583264056396627,0.08142327141552633,0.012159165032333401,0.20629923120478105,0.009953097954436399,0.4971980128804723,0.019411986697031657,0.31133683504216664,0.02956614226000378
SYNC-Guide,raw_risk,0,1179.0,,0.28329092451229854,,0.11812083908334396,,0.2276239243854896,,0.2562185807071799,,0.49142897636679306,,0.31547026738352507,
SYNC-Guide,raw_risk,5,1062.0,3.7416573867739524,0.2842799954436663,0.007052438936304125,0.12070224728249486,0.0029161783006559044,0.2305147827225386,0.005686888352326529,0.258152794239599,0.005943432432790361,0.4912428887444927,0.009910722221534427,0.3127158740382203,0.014567437012104577
SYNC-Guide,raw_risk,10,942.9,4.254409477236529,0.2871012874489904,0.009615169081349741,0.11749103863461514,0.005461073213502138,0.23055459236504766,0.01279504002997151,0.257707454896374,0.011273288491967659,0.4961704002789945,0.022657387852065444,0.32722049432078315,0.014330363533973628
SYNC-Guide,raw_risk,20,706.2,5.138093031466047,0.281315501416539,0.020910838855982078,0.10808350029568445,0.010983966986691579,0.22530555851625755,0.022709302640252428,0.25253909551462844,0.02134368980363334,0.4953071796896184,0.017018985624825175,0.31893290271284824,0.03204218728386302
SYNC-Guide,target_adapted_isotonic,0,1179.0,,0.28329092451229854,,0.28416542601292183,,0.07374641367035378,,0.20747036266832786,,0.49507139567019803,,0.3101420946694921,
SYNC-Guide,target_adapted_isotonic,5,1062.0,3.7416573867739524,0.2842799954436663,0.007052438936304125,0.28493578306507195,0.0018542930487175804,0.07729243808926298,0.007587593294628475,0.20797438258493667,0.003418712177002279,0.4934752840331681,0.010446950443323043,0.3058357203552472,0.01327754349485964
SYNC-Guide,target_adapted_isotonic,10,942.9,4.254409477236529,0.2871012874489904,0.009615169081349741,0.28365248255816994,0.002977982124873783,0.07609415195608406,0.013302848374601758,0.20823019357523725,0.006145792569640383,0.49877458568486277,0.0226417400132821,0.3191292613582971,0.0131424632069286
SYNC-Guide,target_adapted_isotonic,20,706.2,5.138093031466047,0.281315501416539,0.020910838855982078,0.2813714391926935,0.004872565737126072,0.07834673496526368,0.016477640419527182,0.20614426740825958,0.009863756708333143,0.49461462807101475,0.016322183383480175,0.30624371863482347,0.029001923962997722
